,fc1_rmse_mean,fc1_r2_mean,test_loss_mean,train_loss_mean,valid_loss_mean,last_epoch,fc1_rmse_std,fc1_rmse_max,fc1_rmse_min,fc1_r2_std,fc1_r2_max,fc1_r2_min,test_loss_std,test_loss_max,test_loss_min,train_loss_std,train_loss_max,train_loss_min,valid_loss_std,valid_loss_max,valid_loss_min
CNN-obs,13.3708,0.363,0.0817,29.2936,10.1837,1.953125e-07,5.4037,17.1973,5.7288,0.3794,0.8995,0.0941,0.0447,0.1133,0.0185,14.532,39.6896,8.7428,6.08,14.5043,1.5854
RNN-obs,5.1354,0.9192,0.016,7.564,1.0623,6.25e-06,0.0249,5.1564,5.1004,0.0008,0.9203,0.9186,0.0001,0.0161,0.0159,0.1136,7.7224,7.4615,0.0394,1.1146,1.0196
GRU-obs,4.7906,0.9297,0.0149,7.5482,0.9927,2.5e-05,0.0876,4.9072,4.6961,0.0026,0.9325,0.9262,0.0003,0.0153,0.0146,0.1751,7.7898,7.3805,0.0076,1.0003,0.9823
DNN-obs,5.5451,0.9058,0.0186,8.4686,1.5397,1.5625e-06,0.0695,5.6416,5.4805,0.0024,0.908,0.9025,0.0002,0.0188,0.0185,0.1062,8.618,8.3804,0.0273,1.5763,1.5106
LSTM-obs,4.8476,0.928,0.0148,7.3387,0.9744,2.5e-05,0.0751,4.9143,4.7426,0.0022,0.9311,0.926,0.0003,0.015,0.0143,0.0175,7.3534,7.3141,0.0124,0.9894,0.959
CNN-sg5,17.1071,0.1036,0.1141,43.6079,14.5426,7.8125e-07,0.0168,17.1306,17.092,0.0018,0.1052,0.1011,0.0002,0.1143,0.1138,0.0871,43.7303,43.535,0.1253,14.6352,14.3655
RNN-sg5,4.7055,0.9322,0.0158,3.9521,0.8846,3.125e-06,0.0783,4.808,4.6178,0.0023,0.9347,0.9292,0.0001,0.016,0.0156,0.0816,4.0115,3.8366,0.018,0.9099,0.8695
GRU-sg5,4.6241,0.9345,0.016,3.6855,0.808,1.25e-05,0.0339,4.659,4.5782,0.001,0.9358,0.9335,0.0004,0.0165,0.0154,0.1133,3.8456,3.5979,0.021,0.8359,0.7852
DNN-sg5,5.1443,0.9189,0.018,6.3649,1.4702,1.5625e-06,0.0752,5.2413,5.0581,0.0023,0.9216,0.9159,0.0,0.0181,0.018,0.0047,6.37,6.3586,0.0055,1.4779,1.465
LSTM-sg5,4.7147,0.9319,0.0168,3.5763,0.8355,6.25e-06,0.0581,4.7914,4.6509,0.0017,0.9337,0.9297,0.0005,0.0174,0.0162,0.0878,3.699,3.4991,0.0287,0.876,0.8131
CNN-sg7,13.0242,0.3788,0.0821,32.1054,10.1383,3.90625e-07,5.7615,17.1026,4.8762,0.3878,0.9272,0.1041,0.0454,0.1143,0.0179,19.0221,45.6274,5.2042,6.1366,14.4992,1.4598
RNN-sg7,4.4208,0.9402,0.0158,2.6289,0.8755,6.25e-06,0.0191,4.4449,4.3982,0.0005,0.9408,0.9395,0.0001,0.0159,0.0157,0.061,2.687,2.5447,0.0249,0.8936,0.8403
GRU-sg7,4.489,0.9383,0.0159,2.0343,0.7791,1.25e-05,0.0693,4.5795,4.4113,0.0019,0.9404,0.9358,0.0005,0.0166,0.0154,0.0586,2.1146,1.9766,0.0152,0.795,0.7586
DNN-sg7,4.9443,0.9251,0.018,5.1402,1.4823,7.8125e-07,0.0036,4.9485,4.9397,0.0001,0.9253,0.925,0.0,0.018,0.018,0.0413,5.1969,5.0997,0.014,1.5014,1.4684
LSTM-sg7,4.5597,0.9363,0.0161,1.8367,0.7439,6.25e-06,0.0317,4.5993,4.5217,0.0009,0.9374,0.9352,0.0003,0.0164,0.0158,0.0399,1.8753,1.7818,0.0364,0.7706,0.6924
CNN-sg9,17.1276,0.1015,0.1138,46.501,14.3329,1.953125e-07,0.0036,17.1316,17.1229,0.0004,0.102,0.101,0.0,0.1138,0.1137,0.1493,46.7005,46.3415,0.135,14.4729,14.1504
RNN-sg9,4.3031,0.9433,0.0147,2.1255,0.8363,6.25e-06,0.0249,4.3283,4.2693,0.0007,0.9442,0.9426,0.0003,0.015,0.0142,0.0179,2.1508,2.112,0.0125,0.8487,0.8192
GRU-sg9,4.3862,0.9411,0.0151,1.7679,0.7575,3.125e-06,0.0142,4.4059,4.3734,0.0004,0.9414,0.9405,0.0001,0.0152,0.015,0.1258,1.8991,1.5983,0.0253,0.7835,0.7232
DNN-sg9,5.0001,0.9234,0.018,4.712,1.4574,1.5625e-06,0.0489,5.0643,4.9456,0.0015,0.9251,0.9214,0.0002,0.0183,0.0178,0.0031,4.715,4.7078,0.012,1.4716,1.4421
LSTM-sg9,4.2873,0.9437,0.0143,1.6295,0.7137,6.25e-06,0.0536,4.3629,4.2448,0.0014,0.9448,0.9417,0.0005,0.0149,0.0138,0.0362,1.6566,1.5784,0.0216,0.7312,0.6832
CNN-ew2,9.0094,0.651,0.0501,18.5225,5.7675,1.5625e-06,5.7255,17.1064,4.9527,0.387,0.9249,0.1037,0.0453,0.1141,0.018,16.7932,42.2716,6.6228,6.044,14.315,1.4913
RNN-ew2,4.69,0.9326,0.015,4.9723,0.9083,3.125e-06,0.0572,4.7336,4.6092,0.0016,0.9349,0.9314,0.0002,0.0153,0.0148,0.1647,5.0909,4.7395,0.0202,0.9368,0.8924
GRU-ew2,4.4812,0.9385,0.0142,4.7677,0.833,6.25e-06,0.0364,4.5265,4.4373,0.001,0.9397,0.9372,0.0001,0.0142,0.0141,0.0401,4.7981,4.711,0.0104,0.8446,0.8194
DNN-ew2,5.1649,0.9183,0.0183,6.4942,1.4946,3.90625e-07,0.0665,5.2417,5.0794,0.0021,0.921,0.9158,0.0,0.0184,0.0183,0.0606,6.5585,6.4129,0.0123,1.51,1.4798
LSTM-ew2,4.4253,0.94,0.0138,4.8531,0.8011,6.25e-06,0.0536,4.4894,4.3582,0.0014,0.9418,0.9383,0.0001,0.0139,0.0137,0.131,5.0302,4.7175,0.0131,0.817,0.785
CNN-ew3,9.0216,0.6514,0.0502,18.5217,5.8631,1.5625e-06,5.6949,17.0748,4.9036,0.385,0.9264,0.107,0.0455,0.1146,0.0179,18.0689,44.0748,5.7076,6.1873,14.6133,1.4744
RNN-ew3,4.4915,0.9382,0.0144,3.8639,0.8492,2.5e-05,0.0579,4.5333,4.4096,0.0016,0.9404,0.9371,0.0002,0.0146,0.0142,0.1787,4.0347,3.6172,0.0371,0.8944,0.8034
GRU-ew3,4.3639,0.9417,0.014,3.8204,0.8068,3.125e-06,0.0409,4.4145,4.3143,0.0011,0.943,0.9403,0.0003,0.0144,0.0137,0.0653,3.9104,3.7578,0.007,0.8164,0.8002
DNN-ew3,5.0647,0.9214,0.0182,5.7921,1.4716,1.5625e-06,0.0298,5.1064,5.0382,0.001,0.9223,0.9201,0.0,0.0182,0.0181,0.0303,5.8335,5.7619,0.0177,1.4854,1.4465
LSTM-ew3,4.3419,0.9423,0.0138,3.6164,0.7547,1.25e-05,0.055,4.4194,4.2984,0.0015,0.9434,0.9402,0.0001,0.014,0.0137,0.1716,3.8017,3.388,0.0057,0.7604,0.7469
CNN-ew4,17.0584,0.1087,0.1151,44.9485,14.6457,3.90625e-07,0.0039,17.0623,17.053,0.0004,0.1093,0.1083,0.0001,0.1152,0.1149,0.0686,45.0033,44.8519,0.039,14.6787,14.5909
